play_id,title,group_id,page_count,scene_count,speech_count,character_rows,role_coverage,hangdang_coverage,edge_count,density,max_edge_weight,top_character,suspicious_name_count,suspicious_name_examples,flags
01001001,空城计,01000000,5,6,104,12,0.583333,0.583333,46,0.69697,32,诸葛亮,1,众人:generic_speaker,suspicious_character_names
01001002,洪羊洞,01000000,8,10,152,11,0.818182,0.727273,23,0.418182,58,杨延昭,0,,
01001003,三娘教子,01000000,5,1,120,3,1.0,0.666667,3,1.0,85,王春娥,0,,single_scene
01001004,乌盆计,01000000,8,2,232,5,0.8,0.8,8,0.8,153,张别古,0,,
01001005,打鼓骂曹,01000000,8,4,164,11,0.181818,0.181818,48,0.872727,82,曹操,0,,
01001006,捉放曹,01000000,10,4,211,10,0.6,0.5,27,0.6,230,陈宫,0,,
01001007,桑园寄子,01000000,7,5,148,7,0.285714,0.285714,13,0.619048,85,邓伯道,0,,
01001008,取成都,01000000,7,5,125,13,0.384615,0.384615,45,0.576923,50,刘璋,1,众人:generic_speaker,suspicious_character_names
01001009,硃砂痣,01000000,9,6,206,8,0.75,0.625,17,0.607143,110,韩廷凤,0,,
01001010,黄金台,01000000,5,2,154,9,0.666667,0.666667,24,0.666667,153,田单,0,,
01001011,文昭关,01000000,7,7,153,6,0.666667,0.333333,11,0.733333,129,东皋公,0,,
01001012,黄鹤楼,01000000,9,5,214,9,0.666667,0.666667,23,0.638889,87,刘备,0,,
01001013,天水关,01000000,8,7,137,14,0.214286,0.214286,50,0.549451,36,诸葛亮,0,,
01001014,七星灯,01000000,7,5,144,11,0.272727,0.181818,32,0.581818,88,诸葛亮,0,,
01001015,战北原,01000000,5,1,85,7,0.285714,0.285714,21,1.0,81,诸葛亮,0,,single_scene
01001016,牧羊卷,01000000,8,1,245,11,0.727273,0.727273,55,1.0,97,朱春登,0,,single_scene
01001017,清官册,01000000,8,5,186,12,0.416667,0.416667,38,0.575758,68,寇准,0,,
01001018,双狮图,01000000,5,1,105,4,0.75,0.75,6,1.0,111,徐策,0,,single_scene
01001019,柴桑口,01000000,4,3,71,7,0.428571,0.428571,15,0.714286,45,诸葛亮,0,,
01001020,宋江闹院,01000000,8,2,275,4,0.75,0.75,6,1.0,401,阎惜姣,1,众人:generic_speaker,suspicious_character_names
01002001,李陵碑,01000000,4,5,30,6,0.5,0.333333,7,0.466667,19,杨继业,0,,
01002003,祭长江,01000000,2,2,10,2,0.5,0.5,1,1.0,7,孙尚香,0,,low_speech_count
01002004,探寒窑,01000000,5,1,84,4,0.5,0.5,6,1.0,115,陈氏,0,,single_scene
01002005,落花园,01000000,3,1,59,4,0.75,0.75,6,1.0,47,陈杏元,0,,single_scene
01002006,探阴山,01000000,3,1,66,5,0.6,0.6,10,1.0,91,包拯,0,,single_scene
01002007,打金枝,01000000,5,1,66,6,0.833333,0.666667,15,1.0,25,唐王,0,,single_scene
01002008,八义图,01000000,8,4,168,6,0.666667,0.5,12,0.8,92,程婴,0,,
01002009,鱼肠剑,01000000,7,4,119,10,0.7,0.7,30,0.666667,46,专诸,0,,
01002010,钓金龟,01000000,4,1,118,3,0.666667,0.666667,3,1.0,223,张义,0,,single_scene
01002011,梅龙镇,01000000,9,2,313,2,1.0,1.0,1,1.0,612,李凤姐,0,,
01002012,白门楼,01000000,8,9,156,17,0.294118,0.294118,62,0.455882,39,曹操,1,众人:generic_speaker,suspicious_character_names
