play_id,title,group_id,page_count,scene_count,speech_count,character_rows,role_coverage,hangdang_coverage,edge_count,density,max_edge_weight,top_character,suspicious_name_count,suspicious_name_examples,flags
02010002,夺锦标,02000000,23,1,3,6,0.833333,0.666667,1,0.066667,5,宋江,0,,single_scene;low_speech_count;possible_parse_issue
01024005,思凡,01000000,2,1,1,1,1.0,1.0,0,0.0,0,色空,0,,single_scene;low_speech_count
04011003,思凡,04000000,2,1,1,1,1.0,1.0,0,0.0,0,色空,0,,single_scene;low_speech_count
13004002,洛阳桥·下海,13000000,1,1,1,1,1.0,0.0,0,0.0,0,夏得海,0,,single_scene;low_speech_count
70902113,牡丹亭·叫画,70902000,2,1,1,1,1.0,0.0,0,0.0,0,柳梦梅,0,,single_scene;low_speech_count
70902134,孽海记·思凡,70902000,3,1,1,1,1.0,1.0,0,0.0,0,色空,0,,single_scene;low_speech_count
70902112,牡丹亭·拾画,70902000,2,1,2,1,1.0,0.0,0,0.0,0,柳梦梅,0,,single_scene;low_speech_count
01003005,拾黄金,01000000,3,1,3,1,1.0,1.0,0,0.0,0,范陶,0,,single_scene;low_speech_count
70901115,宝剑记·夜奔,70901000,3,1,3,1,1.0,1.0,0,0.0,0,林冲,0,,single_scene;low_speech_count
02008018,鹞子观星,02000000,2,1,5,2,0.5,0.5,1,1.0,9,高行周,0,,single_scene;low_speech_count
03021008,鸿雁捎书,03000000,2,1,5,1,1.0,1.0,0,0.0,0,王宝钏,0,,single_scene;low_speech_count
70902162,疗妒羹·题曲,70902000,2,1,5,1,1.0,1.0,0,0.0,0,乔小青,0,,single_scene;low_speech_count
02009026,林冲夜奔,02000000,2,1,6,2,0.5,0.5,1,1.0,5,林冲,0,,single_scene;low_speech_count
01018004,望儿楼,01000000,3,1,11,2,1.0,1.0,1,1.0,9,窦太真,0,,single_scene;low_speech_count
70902111,牡丹亭·寻梦,70902000,3,1,13,2,1.0,1.0,1,1.0,21,杜丽娘,0,,single_scene;low_speech_count
70902157,焚香记·阳告,70902000,3,1,13,5,0.8,0.6,10,1.0,9,海神,0,,single_scene;low_speech_count
01012016,双观星,01000000,2,1,14,3,0.666667,0.0,3,1.0,17,高行周,0,,single_scene;low_speech_count
02001013,文王卜卦,02000000,2,1,14,5,0.4,0.4,10,1.0,17,姬昌,0,,single_scene;low_speech_count
01017012,连环计,01000000,3,1,16,2,1.0,1.0,1,1.0,31,王允,0,,single_scene;low_speech_count
02004053,探营,02000000,3,1,16,2,1.0,0.5,1,1.0,29,姜维,0,,single_scene;low_speech_count
01014015,挡亮,01000000,3,1,17,4,0.75,0.75,6,1.0,13,陈友谅,0,,single_scene;low_speech_count
80000008,哭灵牌,80000000,2,1,18,3,0.333333,0.333333,3,1.0,13,刘备,0,,single_scene;low_speech_count
02001002,三多九如,02000000,2,1,19,5,0.6,0.6,10,1.0,17,多寿星君,0,,single_scene;low_speech_count
02010037,鬼辩,02000000,3,1,22,4,0.5,0.5,6,1.0,19,贾似道,1,众人:generic_speaker,single_scene;suspicious_character_names
70902131,长生殿·闻铃,70902000,2,1,23,4,0.75,0.25,6,1.0,27,唐明皇,1,众人:generic_speaker,single_scene;suspicious_character_names
70902114,紫钗记·折柳,70902000,3,1,36,6,0.5,0.333333,15,1.0,33,霍小玉,1,众人:generic_speaker,single_scene;suspicious_character_names
02002005,大十面,02000000,3,1,42,6,0.5,0.5,15,1.0,17,韩信,1,众人:generic_speaker,single_scene;suspicious_character_names
70902132,长生殿·哭像,70902000,4,1,45,5,0.4,0.2,10,1.0,61,高力士,1,众人:generic_speaker,single_scene;suspicious_character_names
01017008,斩貂蝉,01000000,3,1,65,4,0.5,0.5,6,1.0,115,关羽,1,众人:generic_speaker,single_scene;suspicious_character_names
70902177,铁冠图·分宫,70902000,4,1,66,7,0.857143,0.571429,21,1.0,29,崇祯帝,1,众人:generic_speaker,single_scene;suspicious_character_names
02002017,昭君出塞,02000000,5,1,87,7,0.428571,0.428571,21,1.0,61,王龙,1,众人:generic_speaker,single_scene;suspicious_character_names
01005015,审李七,01000000,4,1,90,7,0.571429,0.571429,21,1.0,87,李永成,1,众人:generic_speaker,single_scene;suspicious_character_names
70902176,铁冠图·撞钟,70902000,4,1,91,8,0.75,0.5,28,1.0,93,王承恩,1,众人:generic_speaker,single_scene;suspicious_character_names
70902108,牧羊记·望乡,70902000,5,1,93,5,0.4,0.2,10,1.0,153,李陵,1,众人:generic_speaker,single_scene;suspicious_character_names
70902130,长生殿·埋玉,70902000,5,1,99,6,0.666667,0.333333,15,1.0,37,唐明皇,1,众人:generic_speaker,single_scene;suspicious_character_names
70902158,牡丹亭·硬拷,70902000,5,1,107,6,0.666667,0.166667,15,1.0,73,柳梦梅,1,众人:generic_speaker,single_scene;suspicious_character_names
02003022,打吉平,02000000,5,1,128,9,0.222222,0.222222,36,1.0,47,曹操,1,众人:generic_speaker,single_scene;suspicious_character_names
01004008,大保国,01000000,7,1,187,6,0.666667,0.666667,15,1.0,95,徐延昭,1,众人:generic_speaker,single_scene;suspicious_character_names
70004102,好鹤失政,70004000,10,1,188,15,0.066667,0.066667,105,1.0,51,弘演,1,众人:generic_speaker,single_scene;suspicious_character_names
01003006,辕门斩子,01000000,9,1,193,9,0.888889,0.888889,36,1.0,87,杨延昭,1,众人:generic_speaker,single_scene;suspicious_character_names
70201202,三堂会审,70201000,10,1,300,9,0.555556,0.555556,36,1.0,131,刘秉义,1,众人:generic_speaker,single_scene;suspicious_character_names
94000005,诗文会,94000000,16,1,395,12,0.583333,0.583333,66,1.0,121,车步青,1,众人:generic_speaker,single_scene;suspicious_character_names
70203112,卓文君,70203000,25,1,716,20,0.4,0.4,190,1.0,181,竹影,1,众人:generic_speaker,single_scene;suspicious_character_names
